//npc 世界地图编号1 npc自增号1的npc商店列表 商店最多24个物品
// 商店只能定义物品可变属性. 比如武器效果,消耗品恢复能力.
//item_Index   Param1(暂时用作武器效果参数)   Param2   Param3   Param4   Param5  Param6
//

1  1  0  0  0  0  0
2  2  0  0  0  0  0
3  3  0  0  0  0  0
4  4  0  0  0  0  0
5  5  0  0  0  0  0
6  1  0  0  0  0  0
7  2  0  0  0  0  0
8  3  0  0  0  0  0
9  4  0  0  0  0  0
10  5  0  0  0  0  0
11  4  0  0  0  0  0
1000 0  0  0  0  0  0
1001 0  0  0  0  0  0
12  1  0  0  0  0  0
13  1  0  0  0  0  0
5  1  0  0  0  0  0
10  3  0  0  0  0  0
11  3  0  0  0  0  0
12  3  0  0  0  0  0
13  3  0  0  0  0  0
14  3  0  0  0  0  0
15  3  0  0  0  0  0
16  6  0  0  0  0  0
